"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","faucet","","0","0","8","0","0"
"Externally-owned Accounts","","Faucet","0","0","2","0","0"
"Blocks","Query block","","0","0","0","2","0"
"","transaction","","6","0","4","0","0"
"Externally-owned Accounts","Transfer","","0","0","26","3","0"
"Common","","Connection","0","0","2","0","0"
"Common","Connection","","0","0","1","3","0"
"Externally-owned Accounts","Balance","","0","1","2","1","0"
"Smart contracts","","Load smart contracts","0","0","0","1","0"
"Transaction","Create raw transaction","","0","0","0","1","0"
"Externally-owned Accounts","","Balance","0","0","2","0","0"
"Smart contracts","Read smart contract bytecode","","0","0","0","1","0"
"Swarm","Upload files to swarm","","0","0","0","1","0"
"","","","0","1","1","0","0"
"","deploy contract","","3","3","0","0","0"
"Events","Subscription to event logs","","0","0","0","1","0"
"Events","Read 0x protocol event logs","","0","0","0","1","0"
"Externally-owned Accounts","Wallet","","0","1","1","0","0"
"Smart contracts","","Read smart contract bytecode","0","0","0","1","0"
"Transaction","Query transaction","","0","0","2","0","0"
"Externally-owned Accounts","Faucet","","0","0","2","0","0"
"Smart contracts","Load smart contracts","","0","0","0","1","0"
"Events","Read ERC20 token event logs","","0","0","0","1","0"
"Transaction","Send raw transaction","","0","0","0","1","0"
"Address","Address validation","","0","0","0","1","0"
"Whisper","Subscribe to Whisper messages","","0","0","0","1","0"
"Smart contracts","Query smart contracts","","0","0","0","2","0"
"Events","","Subscription to new blocks","0","0","0","1","0"
"Blocks","","Query block","0","0","1","0","0"
"Whisper","Send message on Whisper","","0","0","0","1","0"
"Smart contracts","Write to smart contracts","","0","0","0","1","0"
"Smart contracts","Deploy smart contracts","","0","0","0","1","0"
"Smart contracts","","Query smart contracts","0","0","0","2","0"
"Events","","Read 0x protocol event logs","0","0","0","1","0"
"Swarm","Download files from swarm","","0","0","0","1","0"
"Transaction","","Create raw transaction","0","0","0","1","0"
"Whisper","Connect Whisper client","","0","0","0","1","0"
"Events","Read event logs","","0","0","0","1","0"
"Events","","Read ERC20 token event logs","0","0","0","1","0"
"Smart contracts","","Write to smart contracts","0","0","0","1","0"
"Events","","Subscription to event logs","0","0","0","1","0"
"Whisper","Generate Whisper key pair","","0","0","0","1","0"
"Smart contracts","","Deploy smart contracts","0","0","0","1","0"
"Events","Subscription to new blocks","","0","0","0","1","0"
"Transaction","","Send raw transaction","0","0","0","1","0"
"Events","","Read event logs","0","0","0","1","0"
"Externally-owned Accounts","","Transfer","0","0","1","0","0"
